Rank,Ticker,Momentum_Score,Current_Price,Shares_to_Buy,Allocation
1,AMD,3183.431013807118,234.55999755859375,17,3987.5199584960938
2,MU,8.023100072072095,202.52999877929688,19,3848.0699768066406
3,CAT,7.601046151080253,540.9600219726562,7,3786.7201538085938
4,ORCL,4.514497183055797,313.0,12,3756.0
5,PEP,3.875611737441987,152.6699981689453,26,3969.419952392578
6,JNJ,2.0418077280525937,192.1199951171875,20,3842.39990234375
7,AVGO,1.8082577975834944,354.1499938964844,11,3895.649932861328
8,TMO,1.0953943196123064,536.780029296875,7,3757.460205078125
9,WMT,0.8593179247813278,106.47000122070312,37,3939.3900451660156
10,LLY,0.8154371768278046,819.3800048828125,4,3277.52001953125
11,COST,0.8001114172301476,925.6199951171875,4,3702.47998046875
12,KO,0.7953594944352012,67.58999633789062,59,3987.809783935547
13,UNH,0.6919672034963604,356.6700134277344,11,3923.370147705078
14,PG,0.3807022185517335,149.60000610351562,26,3889.6001586914062
15,DIS,0.34220531765804374,109.87999725341797,36,3955.679901123047
